Folio number,Guest Name,Pax,Child Pax,Source,Arrival,Dept,Nights,Room,cp_o,map_o,day_use_charges_o,late_check_outs_o,all_room_charges_o,room_rate_o,Commission_Rs,Financial Year,Month,Total Pax,Property,Room Type,Actual Rooms,Booking Category,CP,MAP,Day Use,Late Charges,Room Value,Total Revenue,Month Nights,Total Guest,Current Month Till Date Nights,Month UTD PAX,Month PAX,COMMISION,OTA Site,Occupied Nights  from today,Current Month Till Yes Sold nights
F2324FMMNO14908,Kavya Yadav,4,0,Online Portal,09-12-2024,24-12-2024,15,T331,,,0,0,0,"10,812.00","5,638.00",FY 25-26,Jul-25,4,DL-003,Classic Queen,1,B2C,0,0,0,0,79746,79746,12,48,4,41,136,0,MakeMyTrip,21,3
F2526FYPQR66414,Sneha Srivastava,4,0,Event Organizer,10-07-2024,11-07-2024,1,F595,,,3348,0,0,"5,446.00","3,127.00",FY 25-26,Mar-26,4,KA-002,VIP Presidential,1,Corporate,0,0,0,0,14334,14334,23,21,19,46,58,0,Expedia,30,4
F2526FWMNO19271,Nikhil Desai,4,0,Online Portal,05-04-2024,08-04-2024,3,RM6434,,,0,0,0,"5,275.00","3,667.00",FY 24-25,Sep-24,4,GJ-004,Deluxe Double,1,B2B,0,0,0,0,44549,44549,6,25,21,74,119,5093,Booking.com,20,30
F2526FBMNO41023,Divya Dwivedi,2,0,Phone Reservation,10-08-2024,22-08-2024,12,RM5439,,,4696,884,0,"10,832.00","7,272.00",FY 23-24,Aug-24,2,MH-001,VIP Presidential,1,Corporate,0,0,0,0,99674,99674,11,2,25,57,156,0,Agoda,5,21
F2425FBVWX47907,Harshit Subramanian,4,1,Direct Booking,15-11-2024,29-11-2024,14,4-796,,,0,1680,0,"7,260.00","3,507.00",FY 25-26,May-26,5,UP-006,Garden View Single,1,Travel Agency,0,0,2558,0,87954,90512,19,28,9,73,191,5719,,10,6
F2324FAXYZ46158,Vikram Yadav,1,3,Phone Reservation,02-12-2024,15-12-2024,13,269-Executive Suite,,,0,0,0,"19,752.00","7,092.00",FY 25-26,Aug-26,4,GJ-004,Garden View Single,1,Travel Agency,0,0,0,0,69671,69671,1,48,22,45,30,0,,6,13
F2526FMPQR16837,Pooja Gupta,2,0,Phone Reservation,03-09-2024,04-09-2024,1,S7990-A,,,0,0,0,"15,383.00","4,076.00",FY 25-26,Nov-26,2,GJ-004,Luxury King,1,Corporate,0,0,0,0,62434,62434,13,25,17,59,24,12397,,5,18
F2526FAKLA84355,Sakshi Subramanian,3,0,Event Organizer,08-01-2024,16-01-2024,8,S3605-A,,,0,1706,0,"20,447.00","9,774.00",FY 25-26,Jun-26,3,UP-006,Garden View Single,1,Corporate,0,0,0,0,23828,23828,23,10,17,40,94,11577,MakeMyTrip,8,24
F2526FYVWX85845,Divya Singh,4,0,Reference,09-11-2024,23-11-2024,14,1-679,,,3557,787,"2,075.00","8,444.00","5,681.00",FY 23-24,Dec-23,4,KA-002,Garden View Single,1,Travel Agency,0,0,4651,0,79171,83822,5,38,13,72,98,12796,Expedia,12,23
F2425FBABC10305,Neha Iyer,1,0,Email Inquiry,20-11-2024,28-11-2024,8,RM1446,,,0,0,0,"3,339.00","5,409.00",FY 25-26,Oct-23,1,DL-003,Executive Suite,1,B2B,0,0,0,0,46958,46958,23,9,16,77,177,3579,Booking.com,20,29
